date cvd tmpd o3mean
1987-01-01 55 54.5 -16.0073
1987-01-02 73 58.5 -11.6595
1987-01-03 64 55.25 -10.3241
1987-01-04 57 54.75 -18.6471
1987-01-05 56 54.5 -17.5291
1987-01-06 65 49.75 -22.7846
1987-01-07 43 53.5 -19.0819
1987-01-08 69 52.5 -18.5332
1987-01-09 52 54 -17.3117
1987-01-10 52 56 -14.175
1987-01-11 53 61.5 -14.5477
1987-01-12 63 61.5 -19.0508
1987-01-13 60 55.75 -21.1626
1987-01-14 67 56.25 -17.6349
1987-01-15 52 51.5 -14.2682
1987-01-16 64 47 -13.8024
1987-01-17 47 44.75 -16.9701
1987-01-18 68 49.25 -16.2247
1987-01-19 61 51 -13.4833
1987-01-20 43 54 -14.238
1987-01-21 53 50.75 -19.0301
1987-01-22 68 52.25 -20.9357
1987-01-23 56 53.5 -20.7517
1987-01-24 78 54.25 -15.0135
1987-01-25 53 60 -10.4483
1987-01-26 62 67.25 -18.0504
1987-01-27 60 60.5 -23.0488
1987-01-28 55 58.5 -17.704
1987-01-29 54 55.5 -19.0819
1987-01-30 64 54.75 -18.6426
1987-01-31 64 54.25 -12.498
1987-02-01 44 56.25 -3.3365
1987-02-02 37 57.75 -7.2771
1987-02-03 46 57.5 -16.5367
1987-02-04 65 59.25 -14.799
1987-02-05 50 61 -14.4649
1987-02-06 50 65 -15.4017
1987-02-07 53 70.25 -14.144
1987-02-08 59 67.5 -16.2558
1987-02-09 53 61.25 -22.6533
1987-02-10 65 63.25 -20.1067
1987-02-11 55 60.25 -20.0446
1987-02-12 50 60.25 -18.585
1987-02-13 51 58.5 -23.4297
1987-02-14 44 59.5 -12.347
1987-02-15 36 56.75 -15.1688
1987-02-16 46 61.75 -8.1191
1987-02-17 38 57.25 -14.924
1987-02-18 46 58.25 -10.7101
1987-02-19 30 60.75 -9.3373
1987-02-20 45 59.75 -6.2868
1987-02-21 56 53.5 -11.0694
1987-02-22 45 53.75 -9.6409
1987-02-23 48 50.5 -13.4445
1987-02-24 58 47 -16.3438
1987-02-25 51 49 -15.8526
1987-02-26 38 51.25 -14.6314
1987-02-27 58 52.5 -12.0943
1987-02-28 44 54 -4.8583
1987-03-01 51 55.25 5.1417
1987-03-02 62 58 -4.4828
1987-03-03 42 62.5 -6.547
1987-03-04 66 67 -11.476
1987-03-05 51 61.75 -18.6683
1987-03-06 55 61.5 -15.2676
1987-03-07 45 59.25 -11.3408
1987-03-08 39 59 -6.9701
1987-03-09 55 60 -15.5867
1987-03-10 61 58.75 -8.7275
1987-03-11 47 60.5 -5.7095
1987-03-12 42 61.25 -7.9639
1987-03-13 59 60 -12.4754
1987-03-14 38 56.75 -9.0917
1987-03-15 54 55.75 -1.1937
1987-03-16 60 55.75 -10.2916
1987-03-17 50 56.75 -8.0486
1987-03-18 44 56.25 -7.3738
1987-03-19 41 56.75 -8.8377
1987-03-20 32 54.25 -6.7837
1987-03-21 44 51.25 -11.38
1987-03-22 56 52.5 -7.2496
1987-03-23 62 54.25 -9.703
1987-03-24 37 56.75 -7.9328
1987-03-25 43 60.5 -10.1039
1987-03-26 51 61.5 -9.6719
1987-03-27 52 58.25 -4.1129
1987-03-28 53 63 3.7132
1987-03-29 54 61.75 1.3529
1987-03-30 59 65.75 -5.5147
1987-03-31 64 65.5 -8.2944
1987-04-01 57 60 0.3281
1987-04-02 49 59.25 -5.3552
1987-04-03 58 58.75 -2.8816
1987-04-04 45 55.25 -4.0508
1987-04-05 45 58.25 3.092
1987-04-06 44 60.75 -2.149
1987-04-07 55 65.75 1.3977
1987-04-08 62 67.75 0.7066
1987-04-09 51 68.25 1.7428
1987-04-10 60 62.25 1.1309
1987-04-11 41 61.25 10.5144
1987-04-12 45 61.5 7.0983
1987-04-13 51 66.5 5.1734
1987-04-14 58 71.25 12.4949
1987-04-15 45 69 8.7049
1987-04-16 53 63.75 8.2473
1987-04-17 46 59.5 6.0451
1987-04-18 53 61.25 15.1107
1987-04-19 41 64 9.3964
1987-04-20 41 68.5 8.824
1987-04-21 59 74.75 6.9217
1987-04-22 43 74.75 15.825
1987-04-23 37 65.5 6.4621
1987-04-24 50 64.75 5.814
1987-04-25 35 64 4.9243
1987-04-26 40 63.75 8.0299
1987-04-27 51 62.5 6.6409
1987-04-28 49 64.25 15.417
1987-04-29 48 61.25 0.0175
1987-04-30 42 62.75 -1.0384
1987-05-01 53 63 -1.4421
1987-05-02 49 63.5 12.3467
1987-05-03 45 67.5 16.5392
1987-05-04 44 70.75 7.9713
1987-05-05 53 67.75 8.5396
1987-05-06 46 66.5 15.3438
1987-05-07 46 67.25 0.657
1987-05-08 43 67.75 8.1568
1987-05-09 40 65.25 13.0687
1987-05-10 37 66.25 27.9517
1987-05-11 48 69.75 25.5529
1987-05-12 55 70.5 24.1345
1987-05-13 53 65.75 14.811
1987-05-14 45 66.5 11.9674
1987-05-15 49 65.75 -4.3317
1987-05-16 44 66.5 5.4833
1987-05-17 42 67.25 15.7007
1987-05-18 38 65.5 15.2123
1987-05-19 41 63 14.6366
1987-05-20 39 62.25 1.2875
1987-05-21 57 63.75 -2.3515
1987-05-22 49 62.25 2.0821
1987-05-23 51 64.25 13.7132
1987-05-24 47 62.5 12.7194
1987-05-25 44 61.75 8.6604
1987-05-26 46 60.5 2.6842
1987-05-27 46 61 -2.2707
1987-05-28 44 61.75 1.2778
1987-05-29 46 61.5 1.9317
1987-05-30 49 64 11.384
1987-05-31 58 67.25 17.4399
1987-06-01 52 67 12.1957
1987-06-02 57 67.5 15.3591
1987-06-03 49 67.25 12.8394
1987-06-04 48 67.5 12.6262
1987-06-05 52 69.25 8.9306
1987-06-06 38 66 -2.2185
1987-06-07 46 66.5 8.8148
1987-06-08 46 66 14.9368
1987-06-09 41 66 29.2115
1987-06-10 43 65 24.93
1987-06-11 36 64.75 19.0746
1987-06-12 41 64 11.9867
1987-06-13 46 64.75 20.0796
1987-06-14 43 64.5 13.3715
1987-06-15 45 64.25 -4.312
1987-06-16 42 66.25 2.5884
1987-06-17 42 65.5 6.5703
1987-06-18 41 65.5 7.9848
1987-06-19 58 65.75 8.3588
1987-06-20 50 64.75 11.3219
1987-06-21 40 66 17.4088
1987-06-22 38 68.25 21.2767
1987-06-23 50 67.75 21.665
1987-06-24 36 67.25 33.8642
1987-06-25 46 67 28.1819
1987-06-26 44 67 21.361
1987-06-27 43 66.5 23.4026
1987-06-28 34 66 20.7629
1987-06-29 29 66.75 15.0533
1987-06-30 40 66 9.4571
1987-07-01 49 66 7.82
1987-07-02 52 66 14.8519
1987-07-03 34 66.75 17.2225
1987-07-04 27 66.75 20.7111
1987-07-05 53 67.5 18.8052
1987-07-06 49 66.25 12.9883
1987-07-07 46 67 16.6468
1987-07-08 46 64.75 10.0949
1987-07-09 40 68 9.4684
1987-07-10 40 66.25 -1.7831
1987-07-11 49 67.25 7.4298
1987-07-12 50 70 16.8414
1987-07-13 46 68.5 10.4907
1987-07-14 41 69.75 16.4271
1987-07-15 39 66.75 11.929
1987-07-16 36 65.75 2.2086
1987-07-17 49 65.5 -1.6901
1987-07-18 37 67.75 8.1222
1987-07-19 37 67.75 14.2721
1987-07-20 48 66.75 -3.5649
1987-07-21 57 67.5 -3.6483
1987-07-22 38 67 -3.3521
1987-07-23 42 68 4.7428
1987-07-24 47 68.5 12.0102
1987-07-25 36 67.75 21.1504
1987-07-26 40 69.25 24.8253
1987-07-27 47 69.5 16.7088
1987-07-28 43 69.75 16.9843
1987-07-29 42 70 20.0164
1987-07-30 45 70.75 18.6304
1987-07-31 40 71.75 27.6947
1987-08-01 43 75 17.5419
1987-08-02 32 74.25 15.9104
1987-08-03 50 72.75 13.0269
1987-08-04 43 72 19.94
1987-08-05 38 72 14.099
1987-08-06 53 71 13.9179
1987-08-07 29 71.5 10.2177
1987-08-08 57 71.5 17.6158
1987-08-09 45 70.75 16.0088
1987-08-10 45 71.25 9.8808
1987-08-11 47 71.75 8.9518
1987-08-12 34 70.5 -1.2065
1987-08-13 38 67.5 -8.5909
1987-08-14 44 65.5 -11.2546
1987-08-15 34 69.5 2.1183
1987-08-16 43 67.5 11.0789
1987-08-17 54 67.25 11.3048
1987-08-18 36 68.25 12.998
1987-08-19 36 69 14.2536
1987-08-20 40 69.5 7.3007
1987-08-21 60 69.5 3.6456
1987-08-22 51 68 1.0348
1987-08-23 33 67.25 5.7677
1987-08-24 47 66.25 -0.8559
1987-08-25 39 67.75 9.5154
1987-08-26 47 68 11.7248
1987-08-27 43 68.5 11.0925
1987-08-28 42 69.75 15.1128
1987-08-29 34 68.5 21.9842
1987-08-30 43 71 14.8193
1987-08-31 45 69.5 -0.4561
1987-09-01 52 76.75 9.3518
1987-09-02 42 76.5 9.456
1987-09-03 42 71.25 9.738
1987-09-04 53 71.5 16.1563
1987-09-05 48 69.5 17.6554
1987-09-06 48 68.25 8.315
1987-09-07 34 70.25 17.2692
1987-09-08 41 73.25 26.3655
1987-09-09 34 73 4.6749
1987-09-10 42 71.25 2.3858
1987-09-11 40 69.25 7.3751
1987-09-12 26 69 -0.5261
1987-09-13 46 67.5 0.8071
1987-09-14 41 67.75 1.5838
1987-09-15 41 70.25 16.8724
1987-09-16 44 71 16.6938
1987-09-17 47 69.5 18.6167
1987-09-18 59 70 15.4466
1987-09-19 42 69 18.8283
1987-09-20 40 69 26.2916
1987-09-21 37 74.75 24.0112
1987-09-22 42 78.75 17.2217
1987-09-23 41 75.5 -4.9359
1987-09-24 47 71 3.4886
1987-09-25 37 70.25 9.1494
1987-09-26 38 69.75 16.4566
1987-09-27 36 69.5 21.7151
1987-09-28 43 71.75 15.0699
1987-09-29 52 72 7.0883
1987-09-30 45 73.25 12.0022
1987-10-01 52 75 7.3915
1987-10-02 46 76.25 10.8508
1987-10-03 41 82 14.2096
1987-10-04 49 86 12.612
1987-10-05 59 75.5 13.4251
1987-10-06 55 69.5 4.9758
1987-10-07 48 70.25 0.0999
1987-10-08 35 67.75 -1.2902
1987-10-09 30 68.75 0.6756
1987-10-10 44 68.25 8.3696
1987-10-11 41 69.5 -5.0116
1987-10-12 47 67 -16.2274
1987-10-13 45 65.5 -10.9574
1987-10-14 48 66.25 -3.0896
1987-10-15 43 66.25 2.4542
1987-10-16 40 66 12.5905
1987-10-17 52 69 21.3975
1987-10-18 36 66.75 18.6698
1987-10-19 54 65.25 7.6141
1987-10-20 54 63.25 -5.3086
1987-10-21 36 67.5 -3.3341
1987-10-22 42 66.75 -23.4215
1987-10-23 55 66.75 -20.1045
1987-10-24 38 68.75 -17.8123
1987-10-25 63 70.75 -15.642
1987-10-26 48 76.5 -14.7995
1987-10-27 52 76.25 -19.5018
1987-10-28 39 70.5 -17.0233
1987-10-29 46 66.25 -17.2516
1987-10-30 41 64.5 -15.2755
1987-10-31 54 61.5 -20.2903
1987-11-01 38 67 -15.4928
1987-11-02 50 62.75 -11.381
