gkz;haushaltshinweis;haushaltshinweis_name;unterabschnitt;unterabschnitt_name;postengruppe;postengruppe_name;betrag;jahr
40101;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";040;Fahrzeuge;10840,57;2012
40101;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";400;"Geringwertige Wirtschaftsgüter des Anlagevermögens";168,80;2012
40101;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";401;"Materialien (soweit nicht zugeordnet)";21586,55;2012
40101;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";500;"Geldbezüge von Beamten der Verwaltung";663345,37;2012
40101;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";501;"Geldbezüge der Beamten in handwerklicher Verwendung";123666,31;2012
40101;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";510;"Geldbezüge der Vertragsbediensteten der Verwaltung";699472,39;2012
40101;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";511;"Geldbezüge der Vertragsbediensteten in handwerklicher Verwendung";179042,28;2012
40101;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";521;"Geldbezüge der ganzjährig beschäftigten Arbeiter";81266,59;2012
40101;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";560;" Reisegebühren";22808,10;2012
40101;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";580;"Dienstgeberbeiträge zum Ausgleichsfonds für Familienbeihilfen";74874,88;2012
40101;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";581;"Sonstige Dienstgeberbeiträge zur sozialen Sicherheit";236290,17;2012
40101;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";617;"Instandhaltung von Fahrzeugen";25224,98;2012
40101;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";630;Postdienste;25134,45;2012
40101;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";631;Telekommunikationsdienste;31329,02;2012
40101;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";670;Versicherungen;9628,42;2012
40101;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";700;Mietzinse;103160,48;2012
40101;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";710;"Öffentliche Abgaben (Ausgaben), ohne Gebühren gemäß FAG";769,15;2012
40101;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";721;"Bezüge der gewählten Organe";2695410,48;2012
40101;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";728;"Entgelte für sonstige Leistungen";210536,78;2012
40101;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";757;"Laufende Transferzahlungen an private Organisationen ohne Erwerbszweck";1659848,15;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;298;Rücklagen;721481,88;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;400;"Geringwertige Wirtschaftsgüter des Anlagevermögens";2970,26;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;401;"Materialien (soweit nicht zugeordnet)";60411,77;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;403;Handelswaren;540,00;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;457;Druckwerke;32976,49;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;500;"Geldbezüge von Beamten der Verwaltung";1359237,50;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;501;"Geldbezüge der Beamten in handwerklicher Verwendung";76092,66;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;510;"Geldbezüge der Vertragsbediensteten der Verwaltung";853509,32;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;521;"Geldbezüge der ganzjährig beschäftigten Arbeiter";6887,46;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;560;" Reisegebühren";7479,42;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;565;Mehrleistungsvergütungen;212752,72;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;580;"Dienstgeberbeiträge zum Ausgleichsfonds für Familienbeihilfen";81243,24;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;581;"Sonstige Dienstgeberbeiträge zur sozialen Sicherheit";256868,80;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;590;"Freiwillige Sozialleistungen";2492,00;2012
